Table 1
САЙТ №1 СМЕНА КОНТРАКТА С 01.04;;;;;;;Сводная таблица по результатам подбора параметров;;;;;;;;;;;;;
Котировка;BR1! (BRJ5 BR-4.25);;;;;;Период;;31.03-04.04;07.04-11.04;14.04-18.04;21.04-25.04;28.04-30.04;;;;;;;
Лотность;переменная;;;;;;Баланс на начало периода;;44 127,39 ₽;44 055,30 ₽;31 637,61 ₽;24 708,76 ₽;29 550,22 ₽;;;;;;;
Timeframe;5 минут;;;;;;Заработано;руб.;-72,09 ₽;-12 417,69 ₽;-6 928,85 ₽;4 841,46 ₽;1 228,83 ₽;;;;;;;
Бот;"STOCHASTIC 14 89 11; 14 86 16; 3 88 26, Эма 9 21 1 и 4 8 1";;;;;;;%;-0,16 %;-28,19 %;-21,90 %;19,59 %;4,16 %;;;;;;;
Пирамидинг;2;2;2;2;2;;Баланс на конец периода;;44 055,30 ₽;31 637,61 ₽;24 708,76 ₽;29 550,22 ₽;30 779,05 ₽;;;;;;;
Сумма перед тестированием;44 127,39 ₽;;;;;;ИТОГО:;;-13 348,34 ₽;;;;;;;;;;;
Сумма после тестирования*;44 055,30 ₽;;;;;;;;-30,25 %;;;;;;;;;;;
Результаты;Пн 31.03.2025г.;Вт 01.04.2025г.;Ср 02.04.2025г.;Чт 03.04.2025г.;Пт 04.04.2025г.;;;;;;;;;;;;;;;
дн.клира;-937,22 ₽;-957,54 ₽;-645,50 ₽;659,53 ₽;6 067,16 ₽;;;;;;;;;;;;;;;
веч.клира;-234,10 ₽;-688,96 ₽;-885,37 ₽;-1 216,49 ₽;902,59 ₽;;;;;;;;;;;;;;;
кол-во сделок;11;22;18;12;2;;;;;;;;;;;;;;;
лотность;1;1;1;1;1;;;;;;;;;;;;;;;
комиссия;345,83 ₽;732,77 ₽;552,16 ₽;390,77 ₽;114,66 ₽;;;;;;;;;;;;;;;
Заработок;-1 517,15 ₽;-2 379,27 ₽;-2 083,03 ₽;-947,73 ₽;6 855,09 ₽;;;;;;;;;;;;;;;
ИТОГО по результатам недели, с учетом комиссий;;;;;;;;;;;;;;;;;;;;
-72,09 ₽;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
САЙТ №1 СМЕНА КОНТРАКТА С 01.04;;;;;;;;;;;;;;;;;;;;
Котировка;BR1! (BRJ5 BR-4.25);;;;;;;;;;;;;;;;;;;
Лотность;переменная;;;;;;;;;;;;;;;;;;;
Timeframe;5 минут;;;;;;;;;;;;;;;;;;;
Бот;"STOCHASTIC 14 89 11; 14 86 16; 3 88 26, Эма 9 21 1 и 4 8 1";;;;;;;;;;;;;;;;;;;
Пирамидинг;2;2;3;3;2;;;;;;;;;;;;;;;
Сумма перед тестированием;44 055,30 ₽;;;;;;;;;;;;;;;;;;;
