Table 1
САЙТ №1 СМЕНА КОНТРАКТА С 02.05;;;;;;;Сводная таблица по результатам подбора параметров;;;;;;;;;;;;;
Котировка;BR1! (BRJ5 BR-4.25);;;;;;Период;;01.05-02.05;05.05-09.05;12.05-16.05;19.05-23.05;26.05-30.05;;;;;;;
Лотность;переменная;;;;;;Баланс на начало периода;;30 779,05 ₽;;;;;;;;;;;
Timeframe;5 минут;;;;;;Заработано;руб.;;;4 175,82 ₽;;;;;;;;;
Бот;"STOCHASTIC 14 89 11; 14 86 16; 3 88 26, Эма 9 21 1 и 4 8 1";;;;;;;%;;;;;;;;;;;;
Пирамидинг;2;2;3;3;2;;Баланс на конец периода;;;;;;;;;;;;;
Сумма перед тестированием;30 779,05 ₽;;;;;;ИТОГО:;;;;;;;;;;;;;
Сумма после тестирования*;;;;;;;;;;;;;;;;;;;;
Результаты;Пн 28.04.2025г.;Вт 29.04.2025г.;Ср 30.04.2025г.;Чт 01.05.2025;Пт 02.05.2025;;;;;;;;;;;;;;;
дн.клира;;;;;-594,90 ₽;;;;;;;;;;;;;;;
веч.клира;;;;;-187,43 ₽;;;;;;;;;;;;;;;
кол-во сделок;;;;;14;;;;;;;;;;;;;;;
лотность;;;;;1;;;;;;;;;;;;;;;
комиссия;;;;;352,62 ₽;;;;;;;;;;;;;;;
Заработок;0,00 ₽;0,00 ₽;0,00 ₽;;-1 134,95 ₽;;;;;;;;;;;;;;;
ИТОГО по результатам недели, с учетом комиссий;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
САЙТ №1 СМЕНА КОНТРАКТА С 02.05;;;;;;;;;;;;;;;;;;;;
Котировка;BR1! (BRJ5 BR-4.25);;;;;;;;;;;;;;;;;;;
Лотность;переменная;;;;;;;;;;;;;;;;;;;
Timeframe;5 минут;;;;;;;;;;;;;;;;;;;
Бот;"STOCHASTIC 14 89 11; 14 86 16; 3 88 26, Эма 9 21 1 и 4 8 1";;;;;;;;;;;;;;;;;;;
Пирамидинг;2;2;2;2;0;;;;;;;;;;;;;;;
Сумма перед тестированием;;;;;;;;;;;;;;;;;;;;
Сумма после тестирования*;;;;;;;;;;;;;;;;;;;;
Результаты;Пн 05.05.2025г.;Вт 06.05.2025г.;Ср 07.05.2025г.;Чт 08.05.2025;Пт 09.05.2025;;;;;;;;;;;;;;;
дн.клира;399,34 ₽;540,60 ₽;-1 983,65 ₽;412,38 ₽;;;;;;;;;;;;;;;;
веч.клира;174,03 ₽;-613,47 ₽;156,18 ₽;24,28 ₽;;;;;;;;;;;;;;;;
кол-во сделок;28;25;7;16;;;;;;;;;;;;;;;;
лотность;1;1;1;1;;;;;;;;;;;;;;;;
комиссия;676,22 ₽;594,52 ₽;190,80 ₽;389,94 ₽;;;;;;;;;;;;;;;;
Заработок;-102,85 ₽;-667,39 ₽;-2 018,27 ₽;46,72 ₽;;;;;;;;;;;;;;;;
ИТОГО по результатам недели, с учетом комиссий;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
САЙТ №1 СМЕНА КОНТРАКТА С 02.05;;;;;;;;;;;;;;;;;;;;
Котировка;BR1! (BRJ5 BR-4.25);;;;;;;;;;;;;;;;;;;
Лотность;переменная;;;;;;;;;;;;;;;;;;;
Timeframe;5 минут;;;;;;;;;;;;;;;;;;;
Бот;"STOCHASTIC 14 89 11; 14 86 16; 3 88 26, Эма 9 21 1 и 4 8 1";;;;;;;;;;;;;;;;;;;
Пирамидинг;2;2;2;2;2;;;;;;;;;;;;;;;
Сумма перед тестированием;;;;;;;;;;;;;;;;;;;;
Сумма после тестирования*;;;;;;;;;;;;;;;;;;;;
Результаты;Пн 12.05.2025г.;Вт 13.05.2025г.;Ср 14.05.2025г.;Чт 15.05.2025;Пт 16.05.2025;;;;;;;;;;;;;;;
дн.клира;4 309,92 ₽;-372,80 ₽;563,85 ₽;-16,60 ₽;;;;;;;;;;;;;;;;
веч.клира;551,47 ₽;-264,23 ₽;-170,77 ₽;;;;;;;;;;;;;;;;;
кол-во сделок;1;7;7;;;;;;;;;;;;;;;;;
лотность;1;1;1;;;;;;;;;;;;;;;;;
комиссия;53,12 ₽;198,49 ₽;173,41 ₽;;;;;;;;;;;;;;;;;
Заработок;4 808,27 ₽;-835,52 ₽;219,67 ₽;-16,60 ₽;0,00 ₽;;;;;;;;;;;;;;;
ИТОГО по результатам недели, с учетом комиссий;;;;;;;;;;;;;;;;;;;;
4 175,82 ₽;;;;;;;;;;;;;;;;;;;;
